station_from_nlc,station_to_nlc,time,line
641,511,1.5,"Bakerloo"
685,511,2,"Bakerloo"
542,732,1,"Bakerloo"
674,732,1.5,"Bakerloo"
641,774,1,"Bakerloo"
670,774,1.5,"Bakerloo"
628,570,2.5,"Bakerloo"
732,542,1.5,"Bakerloo"
747,542,1.5,"Bakerloo"
717,596,2.4,"Bakerloo"
1457,596,2,"Bakerloo"
620,597,3,"Bakerloo"
680,617,2.72,"Bakerloo"
1457,617,2.5,"Bakerloo"
597,620,2.5,"Bakerloo"
1453,620,2,"Bakerloo"
637,623,1.5,"Bakerloo"
680,623,1.5,"Bakerloo"
570,628,2,"Bakerloo"
747,628,2,"Bakerloo"
623,637,2,"Bakerloo"
746,637,1.5,"Bakerloo"
511,641,1.5,"Bakerloo"
774,641,1.5,"Bakerloo"
1453,659,1.5,"Bakerloo"
751,659,2,"Bakerloo"
674,669,2.19,"Bakerloo"
685,669,2,"Bakerloo"
774,670,2,"Bakerloo"
746,670,2,"Bakerloo"
732,674,2,"Bakerloo"
669,674,2.48,"Bakerloo"
617,680,4.72,"Bakerloo"
623,680,2.89,"Bakerloo"
511,685,2,"Bakerloo"
669,685,2,"Bakerloo"
620,1453,2,"Bakerloo"
659,1453,1.5,"Bakerloo"
596,717,2.53,"Bakerloo"
751,717,3.13,"Bakerloo"
637,746,1.5,"Bakerloo"
670,746,2,"Bakerloo"
542,747,1.5,"Bakerloo"
628,747,2.06,"Bakerloo"
659,751,2.06,"Bakerloo"
717,751,3.17,"Bakerloo"
596,1457,2.23,"Bakerloo"
617,1457,3.15,"Bakerloo"
634,513,2,"Central"
697,513,2,"Central"
576,515,1.75,"Central"
650,515,1.75,"Central"
634,520,2.75,"Central"
642,520,2.25,"Central"
640,524,1.25,"Central"
669,524,1.25,"Central"
636,531,2.5,"Central"
769,531,2.5,"Central"
607,541,1,"Central"
697,541,1.75,"Central"
587,544,2,"Central"
688,544,2.25,"Central"
636,557,2.25,"Central"
725,557,3.25,"Central"
753,560,2.82,"Central"
653,563,1.75,"Central"
764,563,3,"Central"
725,572,2.75,"Central"
515,576,1.79,"Central"
592,576,2,"Central"
650,582,3,"Central"
684,582,1.75,"Central"
544,587,2.11,"Central"
592,587,1.79,"Central"
657,589,2,"Central"
673,589,2.25,"Central"
576,592,4.12,"Central"
587,592,4.32,"Central"
653,595,3,"Central"
673,595,2.26,"Central"
541,607,1.25,"Central"
728,607,2.01,"Central"
663,608,1.5,"Central"
700,608,1.75,"Central"
640,629,2,"Central"
681,629,1.5,"Central"
633,632,2.25,"Central"
719,632,2.75,"Central"
632,633,2.76,"Central"
703,633,3.33,"Central"
743,633,3.64,"Central"
513,634,2.25,"Central"
520,634,3.25,"Central"
531,636,2.53,"Central"
557,636,3.4,"Central"
524,640,1.5,"Central"
629,640,2.5,"Central"
520,642,2.25,"Central"
719,642,3,"Central"
515,650,2.35,"Central"
582,650,2.98,"Central"
563,653,2.54,"Central"
595,653,3.48,"Central"
753,653,3.26,"Central"
589,657,2.28,"Central"
710,657,2.5,"Central"
608,663,1.5,"Central"
681,663,1.5,"Central"
524,669,1.5,"Central"
728,669,1.5,"Central"
589,673,2.25,"Central"
595,673,2.25,"Central"
629,681,1.75,"Central"
663,681,1.5,"Central"
582,684,2,"Central"
743,684,2,"Central"
544,688,2.5,"Central"
769,688,2.5,"Central"
710,692,1.54,"Central"
762,692,2.5,"Central"
608,700,1.75,"Central"
764,700,2.75,"Central"
633,703,2.25,"Central"
712,703,1.75,"Central"
657,710,2.5,"Central"
692,710,1.5,"Central"
703,712,1.75,"Central"
769,712,2.25,"Central"
513,697,2,"Central"
541,697,2,"Central"
632,719,2.75,"Central"
642,719,3.25,"Central"
557,725,3,"Central"
572,725,2.5,"Central"
607,728,1.75,"Central"
669,728,1.5,"Central"
633,743,2.25,"Central"
684,743,1.75,"Central"
560,753,2.25,"Central"
653,753,2.76,"Central"
692,762,2.75,"Central"
563,764,3.71,"Central"
700,764,3.97,"Central"
531,769,2.53,"Central"
688,769,2.22,"Central"
712,769,2.26,"Central"
634,502,2.51,"Circle"
731,502,3.18,"Circle"
774,511,2.5,"Circle"
588,511,2.07,"Circle"
577,501,1.5,"Circle"
645,501,1.5,"Circle"
663,517,2,"Circle"
670,517,2,"Circle"
639,521,1.5,"Circle"
724,521,2,"Circle"
639,536,1,"Circle"
644,536,1,"Circle"
511,774,3.08,"Circle"
670,774,3.72,"Circle"
670,774,3.72,"Circle"
724,542,2.01,"Circle"
761,542,2,"Circle"
588,575,1.5,"Circle"
625,575,2,"Circle"
501,577,1.51,"Circle"
625,577,3.5,"Circle"
605,583,2.9,"Circle"
708,583,2.54,"Circle"
773,585,2,"Circle"
775,585,1,"Circle"
511,588,2,"Circle"
575,588,1.5,"Circle"
585,773,3.03,"Circle"
583,605,2.92,"Circle"
663,605,3.36,"Circle"
575,625,2,"Circle"
577,625,3.5,"Circle"
630,627,1.5,"Circle"
754,627,1.5,"Circle"
627,630,1.5,"Circle"
599,630,1.5,"Circle"
502,634,2.42,"Circle"
645,634,1.51,"Circle"
521,639,1.52,"Circle"
536,639,1.5,"Circle"
536,644,1.5,"Circle"
731,644,1.5,"Circle"
501,645,1.5,"Circle"
634,645,1.5,"Circle"
517,663,2,"Circle"
605,663,2,"Circle"
517,670,2.01,"Circle"
774,670,2,"Circle"
774,670,2,"Circle"
690,670,2,"Circle"
670,690,1.5,"Circle"
754,690,2,"Circle"
585,775,1.5,"Circle"
599,775,1.5,"Circle"
708,702,2,"Circle"
741,702,2,"Circle"
583,708,1.5,"Circle"
702,708,2.5,"Circle"
741,695,1.5,"Circle"
